# The Comparative Toxicogenomics Database (CTD) - http://ctdbase.org/,,,,,,,,
#   Copyright 2002-2012 MDI Biological Laboratory. All rights reserved.,,,,,,,,
#   Copyright 2012-2019 MDI Biological Laboratory & NC State University. All rights reserved.,,,,,,,,
#  ,,,,,,,,
# ,,,,,,,,
# Use is subject to the terms set forth at http://ctdbase.org/about/legal.jsp,,,,,,,,
# These terms include:,,,,,,,,
# ,,,,,,,,
#   1. All forms of publication (e.g., web sites, research papers, databases,,,,,
#      software applications, etc.) that use or rely on CTD data must cite CTD.,,,,,,,
#      Citation guidelines: http://ctdbase.org/about/publications/#citing,,,,,,,,
# ,,,,,,,,
#   2. All electronic or online applications must include hyperlinks from ,,,,,,,,
#      contexts that use CTD data to the applicable CTD data pages.,,,,,,,,
#      Linking instructions: http://ctdbase.org/help/linking.jsp,,,,,,,,
# ,,,,,,,,
#   3. You must notify CTD, and describe your use of our data:,,,,,,,
#      http://ctdbase.org/help/contact.go,,,,,,,,
# ,,,,,,,,
#   4. For quality control purposes, you must provide CTD with periodic ,,,,,,,
#      access to your publication of our data.,,,,,,,,
# ,,,,,,,,
# More information: http://ctdbase.org/downloads/,,,,,,,,
# ,,,,,,,,
# Report created: Tue Feb 05 15:10:21 EST 2019,,,,,,,,
#,,,,,,,,
# Fields:,,,,,,,,
# DiseaseName,DiseaseID,AltDiseaseIDs,Definition,ParentIDs,TreeNumbers,ParentTreeNumbers,Synonyms,SlimMappings
#,,,,,,,,
10p Deletion Syndrome (Partial),MESH:C538288,,,MESH:D002872|MESH:D025063,C16.131.260/C538288|C16.320.180/C538288|C23.550.210.050.500.500/C538288,C16.131.260|C16.320.180|C23.550.210.050.500.500,"Chromosome 10, 10p- Partial|Chromosome 10, monosomy 10p|Chromosome 10, Partial Deletion (short arm)|Monosomy 10p",Congenital abnormality|Genetic disease (inborn)|Pathology (process)
13q deletion syndrome,MESH:C535484,,,MESH:D002872|MESH:D025063,C16.131.260/C535484|C16.320.180/C535484|C23.550.210.050.500.500/C535484,C16.131.260|C16.320.180|C23.550.210.050.500.500,Chromosome 13q deletion|Chromosome 13q deletion syndrome|Chromosome 13q monosomy|Chromosome 13q syndrome|Deletion 13q|Deletion 13q syndrome|Monosomy 13q|Monosomy 13q syndrome|Orbeli's syndrome|Orbeli syndrome,Congenital abnormality|Genetic disease (inborn)|Pathology (process)
15q24 Microdeletion,MESH:C579849,DO:DOID:0060395,,MESH:D002872|MESH:D008607|MESH:D025063,C10.597.606.360/C579849|C16.131.260/C579849|C16.320.180/C579849|C23.550.210.050.500.500/C579849|C23.888.592.604.646/C579849|F03.625.539/C579849,C10.597.606.360|C16.131.260|C16.320.180|C23.550.210.050.500.500|C23.888.592.604.646|F03.625.539,15q24 Deletion|15q24 Microdeletion Syndrome|Interstitial Deletion of Chromosome 15q24,Congenital abnormality|Genetic disease (inborn)|Mental disorder|Nervous system disease|Pathology (process)|Signs and symptoms
16p11.2 Deletion Syndrome,MESH:C579850,,,MESH:D001321|MESH:D002872|MESH:D008607|MESH:D025063,C10.597.606.360/C579850|C16.131.260/C579850|C16.320.180/C579850|C23.550.210.050.500.500/C579850|C23.888.592.604.646/C579850|F03.625.164.113.500/C579850|F03.625.539/C579850,C10.597.606.360|C16.131.260|C16.320.180|C23.550.210.050.500.500|C23.888.592.604.646|F03.625.164.113.500|F03.625.539,,Congenital abnormality|Genetic disease (inborn)|Mental disorder|Nervous system disease|Pathology (process)|Signs and symptoms
"17,20-Lyase Deficiency, Isolated",MESH:C567076,,,MESH:D000312,C12.706.316.090.500/C567076|C13.351.875.253.090.500/C567076|C16.131.939.316.129.500/C567076|C16.320.033/C567076|C16.320.565.925.249/C567076|C18.452.648.925.249/C567076|C19.053.440/C567076|C19.391.119.090.500/C567076,C12.706.316.090.500|C13.351.875.253.090.500|C16.131.939.316.129.500|C16.320.033|C16.320.565.925.249|C18.452.648.925.249|C19.053.440|C19.391.119.090.500,"17-Alpha-Hydroxylase-17,20-Lyase Deficiency, Combined Complete|17-Alpha-Hydroxylase-17,20-Lyase Deficiency, Combined Partial",Congenital abnormality|Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Urogenital disease (female)|Urogenital disease (male)
17-Hydroxysteroid Dehydrogenase Deficiency,MESH:C537805,OMIM:264300,,MESH:D006177|MESH:D043202|MESH:D058490,C12.706.316.096/C537805|C13.351.875.253.096/C537805|C16.131.939.316.096/C537805|C16.320.565.925/C537805|C17.800.090.875/C537805|C18.452.648.925/C537805|C19.391.119.096/C537805,C12.706.316.096|C13.351.875.253.096|C16.131.939.316.096|C16.320.565.925|C17.800.090.875|C18.452.648.925|C19.391.119.096,"17 alpha ketosteroid reductase deficiency of testis|17-Beta Hydroxysteroid Dehydrogenase 3 Deficiency|17 Beta-hydroxysteroid dehydrogenase deficiency|17-Beta Hydroxysteroid Dehydrogenase III Deficiency|17-Ketosteroid Reductase Deficiency Of Testis|17-Ksr Deficiency|Male pseudohermaphroditism with gynecomastia|Neutral 17 beta-hydroxysteroid oxidoreductase deficiency|Neutral 17-Beta-Hydroxysteroid Oxidoreductase Deficiency|Pseudohermaphroditism, Male, with Gynecomastia|PSEUDOHERMAPHRODITISM, MALE, WITH GYNECOMASTIA POLYCYSTIC OVARY SYNDROME DUE TO 17-KETOSTEROID REDUCTASE DEFICIENCY, INCLUDED",Congenital abnormality|Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Skin disease|Urogenital disease (female)|Urogenital disease (male)
18-Hydroxylase deficiency,MESH:C537806,OMIM:203400|OMIM:610600,,MESH:D006994,C19.053.500.480/C537806,C19.053.500.480,"18-alpha hydroxylase deficiency|18-HYDROXYLASE DEFICIENCY|18-Oxidase Deficiency|Aldosterone deficiency 1|Aldosterone deficiency due to defect in 18-hydroxylase|ALDOSTERONE DEFICIENCY DUE TO DEFECT IN STEROID 18-HYDROXYLASE|ALDOSTERONE DEFICIENCY DUE TO DEFICIENCY OF STEROID 18-OXIDASE|ALDOSTERONE DEFICIENCY I|ALDOSTERONE DEFICIENCY II|Aldosterone Deficiency Type I|Aldosterone Deficiency Type II|CMO I Deficiency|CMO II Deficiency|Corticosterone methyloxidase type 1 deficiency|Corticosterone Methyloxidase Type I Deficiency|Corticosterone Methyloxidase Type II Deficiency|FHHA1A|FHHA1B|HYPERRENINEMIC HYPOALDOSTERONISM, FAMILIAL, 1|Hyperreninemic Hypoaldosteronism, Familial, Type I|Steroid 18-Hydroxylase Deficiency|Steroid 18-Oxidase Deficiency",Endocrine system disease
22q11 Deletion Syndrome,MESH:D058165,,"Condition with a variable constellation of phenotypes due to deletion polymorphisms at chromosome location 22q11. It encompasses several syndromes with overlapping abnormalities including the DIGEORGE SYNDROME, VELOCARDIOFACIAL SYNDROME, and CONOTRUNCAL AMOMALY FACE SYNDROME. In addition, variable developmental problems and schizoid features are also associated with this syndrome. (From BMC Med Genet. 2009 Feb 25;10:16) Not all deletions at 22q11 result in the 22q11deletion syndrome.",MESH:D000015|MESH:D006330|MESH:D007011|MESH:D019465|MESH:D025063|MESH:D044148,C05.660.207.103|C14.240.400.021|C14.280.400.044|C15.604.451.249|C16.131.077.019|C16.131.240.400.021|C16.131.260.019|C16.131.482.249|C16.131.621.207.103|C16.320.180.019|C19.642.482.500,C05.660.207|C14.240.400|C14.280.400|C15.604.451|C16.131.077|C16.131.240.400|C16.131.260|C16.131.482|C16.131.621.207|C16.320.180|C19.642.482,"22q11 Deletion Syndromes|Deletion Syndrome, 22q11|Deletion Syndromes, 22q11|Syndrome, 22q11 Deletion|Syndromes, 22q11 Deletion",Cardiovascular disease|Congenital abnormality|Endocrine system disease|Genetic disease (inborn)|Lymphatic disease|Musculoskeletal disease
"2,4-Dienoyl-CoA Reductase Deficiency",MESH:C565624,OMIM:616034,,MESH:D008052,C16.320.565.398/C565624|C18.452.584.562/C565624|C18.452.648.398/C565624,C16.320.565.398|C18.452.584.562|C18.452.648.398,DECRD,Genetic disease (inborn)|Metabolic disease
2-AMINOADIPIC 2-OXOADIPIC ACIDURIA,OMIM:204750,,,MESH:D000592,C16.320.565.100/204750|C18.452.648.100/204750,C16.320.565.100|C18.452.648.100,AMOXAD,Genetic disease (inborn)|Metabolic disease
2-hydroxyethyl methacrylate sensitization,MESH:C535305,,,MESH:D017449,C17.800.174.255.100/C535305|C17.800.815.255.100/C535305|C20.543.418.150/C535305,C17.800.174.255.100|C17.800.815.255.100|C20.543.418.150,Sensitization to 2-hydroxyethyl methacrylate,Immune system disease|Skin disease
2-Hydroxyglutaricaciduria,MESH:C535306,OMIM:236792|OMIM:600721|OMIM:613657|OMIM:615182,,MESH:D020739,C10.228.140.163.100/C535306|C16.320.565.189/C535306|C18.452.132.100/C535306|C18.452.648.189/C535306,C10.228.140.163.100|C16.320.565.189|C18.452.132.100|C18.452.648.189,2-Hga|2-Hydroxyglutaric Aciduria|Combined D-2- and L-2-hydroxyglutaric aciduria|D2HGA|D2HGA1|D2HGA2|D-2-hydroxyglutaric aciduria|D-2-HYDROXYGLUTARIC ACIDURIA 1|D-2-HYDROXYGLUTARIC ACIDURIA 2|D2L2AD|L2HGA|L-2-Hydroxyglutaric Acidemia|L-2-hydroxyglutaric aciduria,Genetic disease (inborn)|Metabolic disease|Nervous system disease
2-Methylacetoacetyl CoA thiolase deficiency,MESH:C535307,,,MESH:D000592,C16.320.565.100/C535307|C18.452.648.100/C535307,C16.320.565.100|C18.452.648.100,,Genetic disease (inborn)|Metabolic disease
2-Methylbutyryl-CoA Dehydrogenase Deficiency,MESH:C566487,OMIM:610006,,MESH:D000592,C16.320.565.100/C566487|C18.452.648.100/C566487,C16.320.565.100|C18.452.648.100,2-MBCD Deficiency|2-Methylbutyryl-Coenzyme A Dehydrogenase Deficiency|2-Methylbutyryl Glycinuria|SBCADD|Short-Branched-Chain Acyl-CoA Dehydrogenase Deficiency|SHORT/BRANCHED-CHAIN ACYL-CoA DEHYDROGENASE DEFICIENCY,Genetic disease (inborn)|Metabolic disease
3b-Hydroxysteroid Dehydrogenase Deficiency,MESH:C579862,,,MESH:D000312,C12.706.316.090.500/C579862|C13.351.875.253.090.500/C579862|C16.131.939.316.129.500/C579862|C16.320.033/C579862|C16.320.565.925.249/C579862|C18.452.648.925.249/C579862|C19.053.440/C579862|C19.391.119.090.500/C579862,C12.706.316.090.500|C13.351.875.253.090.500|C16.131.939.316.129.500|C16.320.033|C16.320.565.925.249|C18.452.648.925.249|C19.053.440|C19.391.119.090.500,3beta-Hsd Deficiency|3 Beta-Hsd Deficiency|3beta-Hsd Deficiency Congenital Adrenal Hyperplasia|3beta-Hydroxysteroid Dehydrogenase Deficiency|3-Beta Hydroxysteroid Dehydrogenase Deficiency|3 beta-ol Dehydrogenase Deficiency|Type II 3beta-Hydroxysteroid Dehydrogenase Deficiency,Congenital abnormality|Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Urogenital disease (female)|Urogenital disease (male)
3C syndrome,MESH:C535313,DO:DOID:0060565|OMIM:220210|OMIM:300963,,MESH:D000015|MESH:D003616|MESH:D006344|MESH:D019465,C05.660.207/C535313|C10.228.140.252.300/C535313|C10.228.140.602.500/C535313|C10.500.205/C535313|C14.240.400.560.375/C535313|C14.280.400.560.375/C535313|C16.131.077/C535313|C16.131.240.400.560.375/C535313|C16.131.621.207/C535313|C16.131.666.205/C535313,C05.660.207|C10.228.140.252.300|C10.228.140.602.500|C10.500.205|C14.240.400.560.375|C14.280.400.560.375|C16.131.077|C16.131.240.400.560.375|C16.131.621.207|C16.131.666.205,3C SYNDROME|CCC dysplasia|Craniocerebellocardiac dysplasia|Dandy-Walker-like malformation with atrioventricular septal defect|Ritscher Schinzel syndrome|Ritscher-Schinzel Syndrome|RITSCHER-SCHINZEL SYNDROME 1|RITSCHER-SCHINZEL SYNDROME 2|RTSC1|RTSC2,Cardiovascular disease|Congenital abnormality|Musculoskeletal disease|Nervous system disease
3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency,MESH:C538324,OMIM:246450,,MESH:D000592,C16.320.565.100/C538324|C18.452.648.100/C538324,C16.320.565.100|C18.452.648.100,3-Hydroxy-3-Methylglutaric Aciduria|3-Hydroxy 3-Methyl Glutaric Aciduria|3-Hydroxy-3-Methylglutaryl-Coenzyme A Lyase Deficiency|3-Hydroxyl 3-Methyl Glutaric Aciduria|Deficiency of Hydroxymethylglutaryl-CoA Lyase|HL DEFICIENCY|HMGCLD|HMGCL DEFICIENCY|HMG CoA Lyase Deficiency|HMG-CoA Lyase Deficiency|Hydroxymethylglutaric Aciduria,Genetic disease (inborn)|Metabolic disease
3-Hydroxy-3-Methylglutaryl-CoA Synthase 2 Deficiency,MESH:C567784,OMIM:605911,,MESH:D007003|MESH:D008661|MESH:D028361,C16.320.565/C567784|C18.452.394.984/C567784|C18.452.648/C567784|C18.452.660/C567784,C16.320.565|C18.452.394.984|C18.452.648|C18.452.660,3-HYDROXY-3-METHYLGLUTARYL-CoA SYNTHASE-2 DEFICIENCY|HMGCS2D|HMGCS2 Deficiency|Mitochondrial HMG-CoA Synthase Deficiency,Genetic disease (inborn)|Metabolic disease
3-Hydroxyacyl-CoA Dehydrogenase Deficiency,MESH:C535310,OMIM:231530,,MESH:D008661,C16.320.565/C535310|C18.452.648/C535310,C16.320.565|C18.452.648,"3-Alpha-Hydroxyacyl-Coenzyme A Dehydrogenase Deficiency|3-Hydroxyacyl-Coenzyme A Dehydrogenase Deficiency|HAD Deficiency|HADH Deficiency|HADHSC Deficiency|L-3-Alpha-Hydroxyacyl-CoA Dehydrogenase, Short Chain, Deficiency|M-SCHAD Deficiency|SCHAD Deficiency|SCHAD DEFICIENCY, FORMERLY",Genetic disease (inborn)|Metabolic disease
3-Hydroxyisobutyric aciduria,MESH:C535312,,,MESH:D000592,C16.320.565.100/C535312|C18.452.648.100/C535312,C16.320.565.100|C18.452.648.100,,Genetic disease (inborn)|Metabolic disease
3-methylcrotonyl CoA carboxylase 1 deficiency,MESH:C535308,OMIM:210200,,MESH:D056806,C10.228.140.163.100.937/C535308|C16.320.565.100.940/C535308|C16.320.565.189.937/C535308|C18.452.132.100.937/C535308|C18.452.648.100.940/C535308|C18.452.648.189.937/C535308,C10.228.140.163.100.937|C16.320.565.100.940|C16.320.565.189.937|C18.452.132.100.937|C18.452.648.100.940|C18.452.648.189.937,3 alpha methylcrotonylglycinuria 1|3-Mcc Deficiency|3-METHYLCROTONYL-CoA CARBOXYLASE 1 DEFICIENCY|3-Methylcrotonyl-Coa Carboxylase Deficiency|3 Methylcrotonyl-CoA carboxylase deficiency|3-Methylcrotonyl-Coenzyme A Carboxylase Deficiency|3 Methylcrotonylglycinuria|3-Methylcrotonylglycinuria|3-Methylcrotonylglycinuria I|Bmcc Deficiency|Deficiency of Methylcrotonoyl-Coa Carboxylase|MCC1D|MCC1 Deficiency|Mcc Deficiency|MCCD Type 1|methylcrotonoyl-CoA carboxylase 1 deficiency|Methylcrotonyl-Coa Carboxylase Deficiency|Methylcrotonylglycinuria Type I,Genetic disease (inborn)|Metabolic disease|Nervous system disease
3-methylcrotonyl CoA carboxylase 2 deficiency,MESH:C535309,OMIM:210210,,MESH:D056806,C10.228.140.163.100.937/C535309|C16.320.565.100.940/C535309|C16.320.565.189.937/C535309|C18.452.132.100.937/C535309|C18.452.648.100.940/C535309|C18.452.648.189.937/C535309,C10.228.140.163.100.937|C16.320.565.100.940|C16.320.565.189.937|C18.452.132.100.937|C18.452.648.100.940|C18.452.648.189.937,"3 alpha methylcrotonyl-coa carboxylase 2 deficiency|3 alpha methylcrotonylglycinuria 2|3-Methylcrotonyl-CoA Carboxylase 2 Deficiency|3-Methylcrotonylglycinuria II|MCC2D|MCC2 Deficiency|methylcrotonoyl-CoA carboxylase 2 deficiency|Methylcrotonylglycinuria type 2|Methylcrotonylglycinuria, Type II",Genetic disease (inborn)|Metabolic disease|Nervous system disease
3-Methylglutaconic Aciduria,MESH:C579867,DO:DOID:0060336,,MESH:D008661,C16.320.565/C579867|C18.452.648/C579867,C16.320.565|C18.452.648,3mga (3-Methylglutaconic Aciduria),Genetic disease (inborn)|Metabolic disease
"3-Methylglutaconic Aciduria, Type I",MESH:C562801,OMIM:250950,,MESH:D008661,C16.320.565/C562801|C18.452.648/C562801,C16.320.565|C18.452.648,"3-Methylglutaconyl-CoA Hydratase Deficiency|3-Mg-CoA-Hydratase Deficiency|MGA1|MGA, Type I|MGCA1",Genetic disease (inborn)|Metabolic disease
3-Methylglutaconic Aciduria Type IV,MESH:C565393,,,MESH:D000015|MESH:D008661,C16.131.077/C565393|C16.320.565/C565393|C18.452.648/C565393,C16.131.077|C16.320.565|C18.452.648,MGA4|MGA Type IV,Congenital abnormality|Genetic disease (inborn)|Metabolic disease
"3-Methylglutaconic Aciduria, Type V",MESH:C565706,OMIM:610198,,MESH:D002311|MESH:D002524|MESH:D008661,C10.228.140.252.190/C565706|C10.597.350.090.500/C565706|C14.280.195.160/C565706|C14.280.238.070/C565706|C16.320.565/C565706|C18.452.648/C565706|C23.888.592.350.090.200/C565706,C10.228.140.252.190|C10.597.350.090.500|C14.280.195.160|C14.280.238.070|C16.320.565|C18.452.648|C23.888.592.350.090.200,"Cardiomyopathy, Dilated, with Ataxia|DCMA|MGA5|MGA, Type V|MGCA5",Cardiovascular disease|Genetic disease (inborn)|Metabolic disease|Nervous system disease|Signs and symptoms
"3-METHYLGLUTACONIC ACIDURIA, TYPE VIII",OMIM:617248,DO:DOID:0070000,,MESH:C579867,C16.320.565/C579867/617248|C18.452.648/C579867/617248,C16.320.565/C579867|C18.452.648/C579867,MGCA8,Genetic disease (inborn)|Metabolic disease
"3-METHYLGLUTACONIC ACIDURIA WITH CATARACTS, NEUROLOGIC INVOLVEMENT, AND NEUTROPENIA",OMIM:616271,DO:DOID:0110003,,MESH:C579867|MESH:D002386|MESH:D009461|MESH:D009503,C10.597/616271|C11.510.245/616271|C15.378.553.546.184.564/616271|C16.320.565/C579867/616271|C18.452.648/C579867/616271|C23.888.592/616271,C10.597|C11.510.245|C15.378.553.546.184.564|C16.320.565/C579867|C18.452.648/C579867|C23.888.592,"3-METHYLGLUTACONIC ACIDURIA, TYPE VII|MEGCANN|MGCA7",Blood disease|Eye disease|Genetic disease (inborn)|Metabolic disease|Nervous system disease|Signs and symptoms
"3-METHYLGLUTACONIC ACIDURIA WITH DEAFNESS, ENCEPHALOPATHY, AND LEIGH-LIKE SYNDROME",OMIM:614739,DO:DOID:0110001,,MESH:C579867|MESH:D001927|MESH:D003638|MESH:D007888,C09.218.458.341.186/614739|C10.228.140.163.100.412/614739|C10.228.140/614739|C10.597.751.418.341.186/614739|C16.320.565.189.412/614739|C16.320.565.202.810.444/614739|C16.320.565/C579867/614739|C18.452.132.100.412/614739|C18.452.648.189.412/614739|C18.452.648.202.810.444/614739|C18.452.648/C579867/614739|C18.452.660.520/614739|C23.888.592.763.393.341.186/614739,C09.218.458.341.186|C10.228.140|C10.228.140.163.100.412|C10.597.751.418.341.186|C16.320.565.189.412|C16.320.565.202.810.444|C16.320.565/C579867|C18.452.132.100.412|C18.452.648.189.412|C18.452.648.202.810.444|C18.452.648/C579867|C18.452.660.520|C23.888.592.763.393.341.186,"3-METHYLGLUTACONIC ACIDURIA, TYPE VI|3-METHYLGLUTACONIC ACIDURIA WITH DYSTONIA-DEAFNESS, HEPATOPATHY, ENCEPHALOPATHY, AND LEIGH-LIKE SYNDROME|MEGDEL|MEGDHEL|MGCA6",Ear-nose-throat disease|Genetic disease (inborn)|Metabolic disease|Nervous system disease|Signs and symptoms
