# The Comparative Toxicogenomics Database (CTD) - http://ctdbase.org/,,,,,,,,
"46, XX Disorders of Sex Development",MESH:D058489,,"Congenital conditions in individuals with a female karyotype, in which the development of the gonadal or anatomical sex is atypical.",MESH:D012734,C12.706.316.064|C13.351.875.253.064|C16.131.939.316.064|C19.391.119.064,C12.706.316|C13.351.875.253|C16.131.939.316|C19.391.119,"46,XX Disorders of Sex Development|46, XX DSD|46,XX DSD|Female Pseudohermaphroditism|Female Pseudohermaphroditisms|Pseudohermaphroditism, Female|Pseudohermaphroditisms, Female",Congenital abnormality|Endocrine system disease|Urogenital disease (female)|Urogenital disease (male)
"46,XX Gonadal dysgenesis epibulbar dermoid",MESH:C535316,,,MESH:D003884|MESH:D023961,C04.182.201/C535316|C04.557.465.910.250/C535316|C12.706.316.064.249/C535316|C12.706.316.309.193/C535316|C13.351.875.253.064.249/C535316|C13.351.875.253.309.193/C535316|C16.131.939.316.064.249/C535316|C16.131.939.316.309.193/C535316|C19.391.119.064.249/C535316|C19.391.119.309.193/C535316,C04.182.201|C04.557.465.910.250|C12.706.316.064.249|C12.706.316.309.193|C13.351.875.253.064.249|C13.351.875.253.309.193|C16.131.939.316.064.249|C16.131.939.316.309.193|C19.391.119.064.249|C19.391.119.309.193,,Cancer|Congenital abnormality|Endocrine system disease|Urogenital disease (female)|Urogenital disease (male)
"46,Xx Gonadal Dysgenesis, Partial Or Complete, Autosomal",MESH:C567597,,,MESH:D023961,C12.706.316.064.249/C567597|C12.706.316.309.193/C567597|C13.351.875.253.064.249/C567597|C13.351.875.253.309.193/C567597|C16.131.939.316.064.249/C567597|C16.131.939.316.309.193/C567597|C19.391.119.064.249/C567597|C19.391.119.309.193/C567597,C12.706.316.064.249|C12.706.316.309.193|C13.351.875.253.064.249|C13.351.875.253.309.193|C16.131.939.316.064.249|C16.131.939.316.309.193|C19.391.119.064.249|C19.391.119.309.193,"Xx Male Syndrome, Sry-Negative",Congenital abnormality|Endocrine system disease|Urogenital disease (female)|Urogenital disease (male)
"46,XX SEX REVERSAL 1",OMIM:400045,DO:DOID:14450,,MESH:D023961,C12.706.316.064.249/400045|C12.706.316.309.193/400045|C13.351.875.253.064.249/400045|C13.351.875.253.309.193/400045|C16.131.939.316.064.249/400045|C16.131.939.316.309.193/400045|C19.391.119.064.249/400045|C19.391.119.309.193/400045,C12.706.316.064.249|C12.706.316.309.193|C13.351.875.253.064.249|C13.351.875.253.309.193|C16.131.939.316.064.249|C16.131.939.316.309.193|C19.391.119.064.249|C19.391.119.309.193,"46,XX GONADAL DYSGENESIS, COMPLETE, SRY-POSITIVE 46,XX TRUE HERMAPHRODITISM, SRY-POSITIVE, INCLUDED|46,XX SEX REVERSAL, SRY-POSITIVE|46,XX TESTICULAR DISORDER OF SEX DEVELOPMENT|OVOTESTICULAR DISORDER OF SEX DEVELOPMENT, INCLUDED|OVOTESTICULAR DSD, INCLUDED|SRXX1|XX MALE, SRY-POSITIVE",Congenital abnormality|Endocrine system disease|Urogenital disease (female)|Urogenital disease (male)
"46,XX SEX REVERSAL 2",OMIM:278850,DO:DOID:14450,,MESH:D023961,C12.706.316.064.249/278850|C12.706.316.309.193/278850|C13.351.875.253.064.249/278850|C13.351.875.253.309.193/278850|C16.131.939.316.064.249/278850|C16.131.939.316.309.193/278850|C19.391.119.064.249/278850|C19.391.119.309.193/278850,C12.706.316.064.249|C12.706.316.309.193|C13.351.875.253.064.249|C13.351.875.253.309.193|C16.131.939.316.064.249|C16.131.939.316.309.193|C19.391.119.064.249|C19.391.119.309.193,CHROMOSOME 17q24 DUPLICATION SYNDROME|SRXX2,Congenital abnormality|Endocrine system disease|Urogenital disease (female)|Urogenital disease (male)
"46,XX SEX REVERSAL 3",OMIM:300833,DO:DOID:14450,,MESH:D023961,C12.706.316.064.249/300833|C12.706.316.309.193/300833|C13.351.875.253.064.249/300833|C13.351.875.253.309.193/300833|C16.131.939.316.064.249/300833|C16.131.939.316.309.193/300833|C19.391.119.064.249/300833|C19.391.119.309.193/300833,C12.706.316.064.249|C12.706.316.309.193|C13.351.875.253.064.249|C13.351.875.253.309.193|C16.131.939.316.064.249|C16.131.939.316.309.193|C19.391.119.064.249|C19.391.119.309.193,"46,XX SEX REVERSAL, SOX3-RELATED  CHROMOSOME Xq26 DELETION SYNDROME, INCLUDED|CHROMOSOME Xq26 DUPLICATION SYNDROME|SRXX3",Congenital abnormality|Endocrine system disease|Urogenital disease (female)|Urogenital disease (male)
"46,XX SEX REVERSAL WITH DYSGENESIS OF KIDNEYS, ADRENALS, AND LUNGS",OMIM:611812,DO:DOID:14450,,MESH:D000307|MESH:D007674|MESH:D008171|MESH:D058489,C08.381/611812|C12.706.316.064/611812|C12.777.419/611812|C13.351.875.253.064/611812|C13.351.968.419/611812|C16.131.939.316.064/611812|C19.053/611812|C19.391.119.064/611812,C08.381|C12.706.316.064|C12.777.419|C13.351.875.253.064|C13.351.968.419|C16.131.939.316.064|C19.053|C19.391.119.064,SERKAL|SERKAL SYNDROME,Congenital abnormality|Endocrine system disease|Respiratory tract disease|Urogenital disease (female)|Urogenital disease (male)
"46, XX Testicular Disorders of Sex Development",MESH:D058531,,Congenital conditions in individuals in which male GONADS develop in a genetic female (female to male sex reversal).,MESH:D058489,C12.706.316.064.124|C13.351.875.253.064.124|C16.131.939.316.064.124|C19.391.119.064.124,C12.706.316.064|C13.351.875.253.064|C16.131.939.316.064|C19.391.119.064,"46, XX Gonadal Sex Reversal|46, XX Testicular Disorder of Sex Development|46, XX Testicular DSD|Gonadal Sex Reversal, 46, XX|Reversals, XX Sex|Reversal, XX Sex|Sex Reversal, Gonadal, 46, XX|Sex Reversals, XX|Sex Reversal, XX|Syndromes, XX Male|Syndrome, XX Male|XX Male Syndrome|XX Male Syndromes|XX Sex Reversal|XX Sex Reversals",Congenital abnormality|Endocrine system disease|Urogenital disease (female)|Urogenital disease (male)
"46, XY female",MESH:C536769,,,MESH:D006061,C12.706.316.096.687/C536769|C12.706.316.309.388/C536769|C13.351.875.253.096.687/C536769|C13.351.875.253.309.388/C536769|C16.131.939.316.096.687/C536769|C16.131.939.316.309.388/C536769|C19.391.119.096.687/C536769|C19.391.119.309.388/C536769,C12.706.316.096.687|C12.706.316.309.388|C13.351.875.253.096.687|C13.351.875.253.309.388|C16.131.939.316.096.687|C16.131.939.316.309.388|C19.391.119.096.687|C19.391.119.309.388,XY Female,Congenital abnormality|Endocrine system disease|Urogenital disease (female)|Urogenital disease (male)
"46,XY Gonadal Dysgenesis, Complete or Partial, DHH-Related",MESH:C565537,OMIM:233420,,MESH:D006061,C12.706.316.096.687/C565537|C12.706.316.309.388/C565537|C13.351.875.253.096.687/C565537|C13.351.875.253.309.388/C565537|C16.131.939.316.096.687/C565537|C16.131.939.316.309.388/C565537|C19.391.119.096.687/C565537|C19.391.119.309.388/C565537,C12.706.316.096.687|C12.706.316.309.388|C13.351.875.253.096.687|C13.351.875.253.309.388|C16.131.939.316.096.687|C16.131.939.316.309.388|C19.391.119.096.687|C19.391.119.309.388,"46,XY GONADAL DYSGENESIS, PARTIAL OR COMPLETE, DHH-RELATED|46,XY SEX REVERSAL 7|46,XY SEX REVERSAL, PARTIAL OR COMPLETE, DHH-RELATED|GDXYM|Gonadal Dysgenesis, XY, Male Limited|GONADAL DYSGENESIS, XY, MALE-LIMITED|SRXY7",Congenital abnormality|Endocrine system disease|Urogenital disease (female)|Urogenital disease (male)
"46,Xy Gonadal Dysgenesis, Complete, Sry-Related",MESH:C567574,,,MESH:D006061,C12.706.316.096.687/C567574|C12.706.316.309.388/C567574|C13.351.875.253.096.687/C567574|C13.351.875.253.309.388/C567574|C16.131.939.316.096.687/C567574|C16.131.939.316.309.388/C567574|C19.391.119.096.687/C567574|C19.391.119.309.388/C567574,C12.706.316.096.687|C12.706.316.309.388|C13.351.875.253.096.687|C13.351.875.253.309.388|C16.131.939.316.096.687|C16.131.939.316.309.388|C19.391.119.096.687|C19.391.119.309.388,"Gonadal Dysgenesis, Xy Female Type",Congenital abnormality|Endocrine system disease|Urogenital disease (female)|Urogenital disease (male)
"46,Xy Gonadal Dysgenesis, Partial, With Minifascicular Neuropathy",MESH:C567773,OMIM:607080,,MESH:D006061|MESH:D011115,C10.668.829.800/C567773|C12.706.316.096.687/C567773|C12.706.316.309.388/C567773|C13.351.875.253.096.687/C567773|C13.351.875.253.309.388/C567773|C16.131.939.316.096.687/C567773|C16.131.939.316.309.388/C567773|C19.391.119.096.687/C567773|C19.391.119.309.388/C567773,C10.668.829.800|C12.706.316.096.687|C12.706.316.309.388|C13.351.875.253.096.687|C13.351.875.253.309.388|C16.131.939.316.096.687|C16.131.939.316.309.388|C19.391.119.096.687|C19.391.119.309.388,,Congenital abnormality|Endocrine system disease|Nervous system disease|Urogenital disease (female)|Urogenital disease (male)
"46,XY SEX REVERSAL 1",OMIM:400044,DO:DOID:14448,,MESH:D006061|MESH:D050090,C12.706.316.096.687/400044|C12.706.316.309.388/400044|C12.706.316.343/400044|C13.351.875.253.096.687/400044|C13.351.875.253.309.388/400044|C13.351.875.253.343/400044|C16.131.939.316.096.687/400044|C16.131.939.316.309.388/400044|C16.131.939.316.343/400044|C19.391.119.096.687/400044|C19.391.119.309.388/400044|C19.391.119.343/400044,C12.706.316.096.687|C12.706.316.309.388|C12.706.316.343|C13.351.875.253.096.687|C13.351.875.253.309.388|C13.351.875.253.343|C16.131.939.316.096.687|C16.131.939.316.309.388|C16.131.939.316.343|C19.391.119.096.687|C19.391.119.309.388|C19.391.119.343,"46,XY GONADAL DYSGENESIS, COMPLETE, SRY-RELATED 46,XY TRUE HERMAPHRODITISM, SRY-RELATED, INCLUDED|46,XY SEX REVERSAL, SRY-RELATED|SEX-REVERSING LOCUS ON X, FORMERLY, INCLUDED;SRVX, FORMERLY, INCLUDED|SRXY1|TESTIS-DETERMINING FACTOR, X-CHROMOSOMAL, FORMERLY, INCLUDED;TDFX, FORMERLY, INCLUDED",Congenital abnormality|Endocrine system disease|Urogenital disease (female)|Urogenital disease (male)
"46,XY SEX REVERSAL 10",OMIM:616425,,,MESH:D006061,C12.706.316.096.687/616425|C12.706.316.309.388/616425|C13.351.875.253.096.687/616425|C13.351.875.253.309.388/616425|C16.131.939.316.096.687/616425|C16.131.939.316.309.388/616425|C19.391.119.096.687/616425|C19.391.119.309.388/616425,C12.706.316.096.687|C12.706.316.309.388|C13.351.875.253.096.687|C13.351.875.253.309.388|C16.131.939.316.096.687|C16.131.939.316.309.388|C19.391.119.096.687|C19.391.119.309.388,CHROMOSOME 17q24 DELETION SYNDROME|SRXY10,Congenital abnormality|Endocrine system disease|Urogenital disease (female)|Urogenital disease (male)
"46,XY Sex Reversal 4",MESH:C567887,OMIM:154230,,MESH:D006061,C12.706.316.096.687/C567887|C12.706.316.309.388/C567887|C13.351.875.253.096.687/C567887|C13.351.875.253.309.388/C567887|C16.131.939.316.096.687/C567887|C16.131.939.316.309.388/C567887|C19.391.119.096.687/C567887|C19.391.119.309.388/C567887,C12.706.316.096.687|C12.706.316.309.388|C13.351.875.253.096.687|C13.351.875.253.309.388|C16.131.939.316.096.687|C16.131.939.316.309.388|C19.391.119.096.687|C19.391.119.309.388,"46,Xy Gonadal Dysgenesis, Complete Or Partial, With 9p24.3 Deletion|46,XY GONADAL DYSGENESIS, PARTIAL OR COMPLETE, WITH 9p24.3 DELETION|Chromosome 9p24.3 Deletion Syndrome|SRXY4",Congenital abnormality|Endocrine system disease|Urogenital disease (female)|Urogenital disease (male)
"46, XY Sex Reversal 5",MESH:C567766,OMIM:613080,,MESH:D006061,C12.706.316.096.687/C567766|C12.706.316.309.388/C567766|C13.351.875.253.096.687/C567766|C13.351.875.253.309.388/C567766|C16.131.939.316.096.687/C567766|C16.131.939.316.309.388/C567766|C19.391.119.096.687/C567766|C19.391.119.309.388/C567766,C12.706.316.096.687|C12.706.316.309.388|C13.351.875.253.096.687|C13.351.875.253.309.388|C16.131.939.316.096.687|C16.131.939.316.309.388|C19.391.119.096.687|C19.391.119.309.388,"46,Xy Gonadal Dysgenesis, Complete, Cbx2-Related|46,XY SEX REVERSAL 5|46,XY SEX REVERSAL, CBX2-RELATED|Disorder Of Sex Development, 46,Xy, Cbx2-Related|Sex Reversal, Xy, Cbx2-Related|SRXY5",Congenital abnormality|Endocrine system disease|Urogenital disease (female)|Urogenital disease (male)
"46,XY SEX REVERSAL 6",OMIM:613762,DO:DOID:14448,,MESH:D006061,C12.706.316.096.687/613762|C12.706.316.309.388/613762|C13.351.875.253.096.687/613762|C13.351.875.253.309.388/613762|C16.131.939.316.096.687/613762|C16.131.939.316.309.388/613762|C19.391.119.096.687/613762|C19.391.119.309.388/613762,C12.706.316.096.687|C12.706.316.309.388|C13.351.875.253.096.687|C13.351.875.253.309.388|C16.131.939.316.096.687|C16.131.939.316.309.388|C19.391.119.096.687|C19.391.119.309.388,"46,XY GONADAL DYSGENESIS, PARTIAL OR COMPLETE, MAP3K1-RELATED|46,XY SEX REVERSAL, PARTIAL OR COMPLETE, MAP3K1-RELATED|SRXY6",Congenital abnormality|Endocrine system disease|Urogenital disease (female)|Urogenital disease (male)
"46,XY SEX REVERSAL 9",OMIM:616067,DO:DOID:14448,,MESH:D006061,C12.706.316.096.687/616067|C12.706.316.309.388/616067|C13.351.875.253.096.687/616067|C13.351.875.253.309.388/616067|C16.131.939.316.096.687/616067|C16.131.939.316.309.388/616067|C19.391.119.096.687/616067|C19.391.119.309.388/616067,C12.706.316.096.687|C12.706.316.309.388|C13.351.875.253.096.687|C13.351.875.253.309.388|C16.131.939.316.096.687|C16.131.939.316.309.388|C19.391.119.096.687|C19.391.119.309.388,"46,XY SEX REVERSAL, ZFPM2-RELATED|SRXY9",Congenital abnormality|Endocrine system disease|Urogenital disease (female)|Urogenital disease (male)
"46,Xy True Hermaphroditism, Sry-Related",MESH:C567575,,,MESH:D050090|MESH:D058490,C12.706.316.096/C567575|C12.706.316.343/C567575|C13.351.875.253.096/C567575|C13.351.875.253.343/C567575|C16.131.939.316.096/C567575|C16.131.939.316.343/C567575|C19.391.119.096/C567575|C19.391.119.343/C567575,C12.706.316.096|C12.706.316.343|C13.351.875.253.096|C13.351.875.253.343|C16.131.939.316.096|C16.131.939.316.343|C19.391.119.096|C19.391.119.343,,Congenital abnormality|Endocrine system disease|Urogenital disease (female)|Urogenital disease (male)
"47, XYY syndrome",MESH:C535317,,,MESH:D014997|MESH:D025064,C16.131.260.830/C535317|C16.320.180.830/C535317|C23.550.210.024.500/C535317|C23.550.210.815.970/C535317,C16.131.260.830|C16.320.180.830|C23.550.210.024.500|C23.550.210.815.970,47 XYY syndrome|Jacob's syndrome|XYY syndrome|YY syndrome,Congenital abnormality|Genetic disease (inborn)|Pathology (process)
"49,XXXXX syndrome",MESH:C535319,,,MESH:D000782|MESH:D012729|MESH:D025064,C16.131.260.830/C535319|C16.320.180.830/C535319|C23.550.210.050/C535319|C23.550.210.815/C535319,C16.131.260.830|C16.320.180.830|C23.550.210.050|C23.550.210.815,Chromosome X pentasomy|Chromosome XXXXX syndrome|Pentasomy X|Pentasomy X syndrome|Penta-X syndrome,Congenital abnormality|Genetic disease (inborn)|Pathology (process)
4-hydroxyphenylacetic aciduria,MESH:C535315,,,MESH:D007410,C06.405.469/C535315,C06.405.469,,Digestive system disease
5 alpha Fluorouracil toxicity,MESH:C531667,,,MESH:D054067,C16.320.565.798.183/C531667|C18.452.648.798.183/C531667,C16.320.565.798.183|C18.452.648.798.183,,Genetic disease (inborn)|Metabolic disease
5-HYDROXYTRYPTAMINE OXYGENASE REGULATOR,OMIM:143460,,,MESH:D004314,C10.597.606.360.220/143460|C16.131.077.327/143460|C16.131.260.260/143460|C16.320.180.260/143460,C10.597.606.360.220|C16.131.077.327|C16.131.260.260|C16.320.180.260,HTOR,Congenital abnormality|Genetic disease (inborn)|Nervous system disease
5-Nucleotidase syndrome,MESH:C535321,,,MESH:D008661,C16.320.565/C535321|C18.452.648/C535321,C16.320.565|C18.452.648,5'-Nucleotidase syndrome,Genetic disease (inborn)|Metabolic disease
5-oxoprolinase deficiency,MESH:C535322,OMIM:260005,,MESH:D000592,C16.320.565.100/C535322|C18.452.648.100/C535322,C16.320.565.100|C18.452.648.100,5-alpha-oxoprolinase deficiency|OPLAHD|Oxoprolinuria due to 5-oxoprolinase deficiency|Oxoprolinuria Due To Oxoprolinase Deficiency,Genetic disease (inborn)|Metabolic disease
6-Phosphogluconolactonase Deficiency,MESH:C566803,,,MESH:D000743|MESH:D008661,C15.378.071.141/C566803|C16.320.565/C566803|C18.452.648/C566803,C15.378.071.141|C16.320.565|C18.452.648,6PGL Deficiency,Blood disease|Genetic disease (inborn)|Metabolic disease
6-pyruvoyl-tetrahydropterin synthase deficiency,MESH:C535325,DO:DOID:0090106|OMIM:261640,,MESH:D010661,C10.228.140.163.100.687/C535325|C16.320.565.100.766/C535325|C16.320.565.189.687/C535325|C18.452.132.100.687/C535325|C18.452.648.100.766/C535325|C18.452.648.189.687/C535325,C10.228.140.163.100.687|C16.320.565.100.766|C16.320.565.189.687|C18.452.132.100.687|C18.452.648.100.766|C18.452.648.189.687,"6-PYRUVOYL-TETRAHYDROPTERIN SYNTHASE DEFICIENCY|HPABH4A|HYPERPHENYLALANINEMIA, BH4-DEFICIENT, A|Hyperphenylalaninemia, BH4-Deficient, Type A|Hyperphenylalaninemia due to 6-pyruvoyltetrahydropterin synthase deficiency|Hyperphenylalaninemia, Tetrahydrobiopterin-Deficient, Due To PTS Deficiency|PTS Deficiency|PTS DEFICIENCY  HYPERPHENYLALANINEMIA, BH4-DEFICIENT, DUE TO PARTIAL PTS DEFICIENCY, INCLUDED",Genetic disease (inborn)|Metabolic disease|Nervous system disease
6q24-Related Transient Neonatal Diabetes Mellitus,MESH:C579872,,,MESH:D003920,C18.452.394.750/C579872|C19.246/C579872,C18.452.394.750|C19.246,6q24-Tndm|Tndm Type 1,Endocrine system disease|Metabolic disease
"6q+ Syndrome, Partial",MESH:C537810,,,MESH:D014314|MESH:D025063,C16.131.260/C537810|C16.320.180/C537810|C23.550.210.050.750/C537810|C23.550.210.182.500/C537810,C16.131.260|C16.320.180|C23.550.210.050.750|C23.550.210.182.500,"Chromosome 6, partial trisomy 6q|Chromosome 6, Trisomy 6q2|Distal Duplication 6q|Trisomy 6q, Partial|Trisomy 6q Syndrome, Partial",Congenital abnormality|Genetic disease (inborn)|Pathology (process)
7p2 monosomy syndrome,MESH:C537818,,,MESH:D002872|MESH:D025063,C16.131.260/C537818|C16.320.180/C537818|C23.550.210.050.500.500/C537818,C16.131.260|C16.320.180|C23.550.210.050.500.500,"Chromosome 7, monosomy 7p2|Chromosome 7, partial deletion of short arm (7p2-)|Chromosome 7, partial monosomy 7p|Chromosome 7, terminal 7p deletion (del 7p21-p22)",Congenital abnormality|Genetic disease (inborn)|Pathology (process)
9q22.3 Microdeletion,MESH:C579873,,,MESH:D025063,C16.131.260/C579873|C16.320.180/C579873,C16.131.260|C16.320.180,9q22.3 Deletion|9q22 Deletion Syndrome|Microdeletion 9q22.3 Syndrome,Congenital abnormality|Genetic disease (inborn)
Aagenaes syndrome,MESH:C535330,DO:DOID:6691|OMIM:214900,,MESH:D002779|MESH:D008209,C06.130.120.135/C535330|C15.604.496/C535330,C06.130.120.135|C15.604.496,AAGENAES SYNDROME|CHLS|Cholestasis lymphedema syndrome|Cholestasis-Lymphedema Syndrome|LCS|LCS1|Lymphedema - cholestasis syndrome|Lymphedema-Cholestasis Syndrome,Digestive system disease|Lymphatic disease
